codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05045,2014,1,,0.2726586598411761,,,-0.26005427391276714,
05045,2014,2,,0.34739799401354826,,,-0.38614804990892554,
05045,2018,1,0.38569654030180345,0.35178965771071036,,,0.07913099786953426,
05045,2018,2,0.49349694379337283,0.4467806424927616,,,0.09938264847921335,
05045,2022,1,0.5275744560724296,0.16800758171516142,,0.14187791577062614,-0.18378207599554894,
05045,2022,2,0.6428774631592922,0.3188499250858194,,0.14938051936591934,-0.12793071740694223,
05051,2002,1,0.5880703940196231,0.34854384052328297,,,,
05051,2006,1,0.09765122265122265,0.5365186615186616,,-0.49041917136840046,0.1879748209953786,
05051,2010,1,0.04986465308448497,0.5982333665764354,,-0.047786569566737686,0.06171470505777388,
05051,2010,2,,0.7842317871569856,,,,
05051,2014,1,,0.2687791945461432,,,-0.32945417203029226,
05051,2014,2,,0.3077737156051568,,,-0.4764580715518288,
05051,2018,1,0.2745175265852698,0.430484442693974,,,0.16170524814783083,
05051,2018,2,0.36851056211958466,0.6046365914786967,,,0.29686287587353993,
05051,2022,1,0.3978869519281564,0.3807712625462229,,0.12336942534288659,-0.04971318014775111,
05051,2022,2,0.42849962302085953,0.5517299153891262,,0.05998906090127487,-0.05290667608957056,
05055,2002,1,0.10118505013673655,0.4366453965360073,,,,
05055,2006,1,0.09674922600619196,0.8041795665634675,,-0.004435824130544594,0.36753417002746014,
05055,2010,1,0.002205071664829107,0.9198823961778758,,-0.09454415434136285,0.11570282961440836,
05055,2010,2,,0.9551374819102749,,,,
05055,2014,1,,0.7717478052673583,,,-0.1481345909105175,
05055,2014,2,,0.8497304582210242,,,-0.1054070236892507,
05055,2018,1,0.030322791000978153,0.8705575480925987,,,0.09880974282524035,
05055,2018,2,0.04019196160767846,0.9370125974805039,,,0.0872821392594797,
05055,2022,1,0.07230108946847144,0.6021789369428855,,0.04197829846749329,-0.2683786111497132,
05055,2022,2,0.10891990291262135,0.866504854368932,,0.06872794130494289,-0.07050774311157193,
05059,2002,1,0.3134851138353765,0.5341506129597198,,,,
05059,2006,1,0.08032596041909197,0.7508731082654249,,-0.23315915341628457,0.2167224953057051,
05059,2010,1,0.009518477043673012,0.41153415453527437,,-0.07080748337541896,-0.3393389537301505,
05059,2010,2,,0.802461139896373,,,,
05059,2014,1,,0.43245175125089347,,,0.020917596715619102,
05059,2014,2,,0.5672930421533774,,,-0.23516809774299563,
