codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
15686,0.5772678355013687,1322974.0942857142,128346.25285714286,157111.82714285716
15690,0.7936665139527623,2372353.7985714287,231293.90714285715,771275.3128571428
15693,0.713465838899037,770019.2357142856,54122.69142857142,145691.13428571427
15696,0.8495219136435128,2597622.022857143,210949.7157142857,1061786.7757142857
15720,0.31915418991838446,2293021.535714286,486598.1271428571,140333.43714285715
15723,0.3017731887647396,3828023.312857143,797453.4085714285,197584.07571428572
15740,0.5163338750394307,1395150.9057142858,154545.65857142856,133531.86285714284
15753,0.6227397041359362,1138072.362857143,103354.85857142857,150472.5314285714
15755,0.5154054106147964,1476926.5057142857,155439.49142857143,119480.17571428571
15757,0.7353077145731103,1113567.6971428571,109661.26,228590.36428571428
15759,0.9721501867628543,1118645.9642857143,7575.444285714286,323569.9342857143
15761,0.48541728888640573,1939193.5385714285,263231.4314285714,173324.41857142857
15762,0.4021232330776145,1610402.1414285714,277857.08999999997,134254.0542857143
15763,0.7077560796639899,1160676.2757142857,144880.41285714286,313060.2071428572
15764,0.6003672845783695,1552330.3457142857,167613.56428571427,197758.70857142858
15774,0.3008665460238101,1556265.5885714286,323314.95285714284,98649.95142857141
15776,0.6534290211870663,1805809.1185714286,142967.16714285716,272493.61142857146
15778,0.5224553153688187,1854890.4571428571,271015.9371428572,180458.10571428572
15790,0.4601925435989488,1151370.0357142857,155583.76,99038.7
15798,0.5011535114351903,1394943.0357142857,175836.93714285715,135129.70857142858
15804,0.5385655812101995,1248881.9614285715,148274.87714285715,128688.30857142857
15806,0.9236746668501615,1272783.3699999999,59174.409999999996,687677.8142857143
15808,0.4834755867397349,1953162.0528571426,264346.6228571429,196564.26857142858
15810,0.35562762913548635,2129715.3314285716,329824.65857142856,129978.55
15814,0.6007345244069804,1251222.67,113245.33428571429,121371.8857142857
15816,0.3628039456111621,1498131.572857143,248027.85857142857,120331.18142857144
15820,0.41247242580365134,1369039.9414285715,200324.68142857144,124538.72
15822,0.4425233652216521,1470484.6157142858,227821.20285714284,148591.53857142857
15832,0.41882985548912816,5267013.991428571,411661.60714285716,315998.50999999995
15835,0.5622319621175579,1302240.677142857,115738.45571428571,116318.71714285715
15837,0.8795822498648775,1873343.2957142857,110033.51857142858,733677.9428571429
15839,0.382519156455787,2893489.1950000003,512090.4816666667,279387.3483333333
15842,0.5021054407881541,1450645.3357142857,159384.65285714288,138976.07428571428
15861,0.7638138829326317,955240.6857142857,76018.97285714287,212715.7457142857
15879,0.3498706709356126,1650398.0957142857,263460.47571428574,94256.55428571429
15897,0.8039545169682383,2096246.315714286,174762.07714285716,619395.467142857
17001,0.9489751988178086,925121.3428571428,13735.797142857144,308753.9414285714
17013,0.7310728064243381,879593.4957142856,50534.724285714285,124821.65571428572
17042,0.8734922243746556,770108.96,22218.661428571428,138514.95142857142
17050,0.6019581214632707,1187765.872857143,106155.7657142857,115208.76714285715
17088,0.6696921203470512,1215700.16,84243.22571428573,164187.04
17174,0.9086593188880528,788482.0371428571,25652.665714285715,243975.81714285715
17272,0.6112837527500842,1010894.3957142857,76662.43999999999,103370.26142857144
17380,0.9351804191602698,935250.9357142857,26003.66714285714,240346.14428571428
17388,0.5228162359517823,1236463.1314285714,102080.89571428571,102614.20571428572
17433,0.6030231259161771,946787.6399999999,65518.63285714285,84517.17428571428
17442,0.5696459892443633,1040850.1699999999,134286.77285714287,139865.25142857144
17444,0.6086850746498665,1090455.2542857144,60966.99714285714,77634.92857142857
17446,0.4717214026585867,1532566.4000000001,196905.70714285714,150342.39571428573
17486,0.7931318060829889,815024.367142857,47092.06857142857,160193.3114285714
17495,0.6136607833136517,1653808.092857143,149722.7257142857,225320.64142857143
17513,0.707746793729857,1042707.5471428571,60687.73428571429,127846.72571428571
17524,0.8335917492048905,977643.0028571428,52889.095714285715,251406.57142857142
17541,0.6807309643611886,995505.7285714286,46103.48714285714,93959.86
17614,0.8258165087754735,862759.2842857143,27766.262857142858,103049.09999999999
17616,0.622039107455696,1046690.9485714285,71292.62142857144,111588.82571428572
17653,0.7272510386948634,778358.1371428572,47216.99285714286,111640.82428571429
17662,0.6294278476826844,1005760.41,53470.64857142857,75279.16
17665,0.6333747036291276,1496636.6300000001,150260.46,264158.9414285714
17777,0.8162743349412084,805341.0928571429,29506.570000000003,115680.23999999999
17867,0.7389587811400329,1229157.407142857,74335.93999999999,202630.23
17873,0.9009309869051,423210.1557142857,17704.652857142857,170787.89857142858
17877,0.7724162661007502,936607.1985714285,57033.04714285715,184714.22
18001,0.9794107960954846,1209046.6714285712,5239.481428571429,200782.3057142857
18029,0.4969990896560696,1678241.7414285713,167286.83857142858,169186.30142857143
18094,0.5954202745480147,1794463.7785714285,108489.35142857142,171511.16714285716
18150,0.793821889392248,876843.3828571428,38661.62857142858,131362.76714285713
18205,0.512961605425014,1226222.6814285715,118854.42714285714,123516.43999999999
18247,0.6811079498487222,1244689.9585714287,68682.10571428572,136174.78
18256,0.5567662617902978,893928.5771428571,70198.47571428571,83710.41285714286
18410,0.5895946843107286,1649794.8614285714,102654.58142857142,137079.89857142858
18460,0.4474930774868015,1477181.1642857143,159822.9342857143,124076.00428571428
18479,0.5042869631362146,2295468.6757142856,208151.64571428573,196082.28285714285
18592,0.7344922272559212,906319.1214285714,42070.77428571428,116640.86571428571
18610,0.5841878560720787,1266806.232857143,84905.06142857144,112136.69571428571
18753,0.7640824806394287,859903.7142857143,60451.15,124712.42000000001
18756,0.3582416879577614,991194.6242857144,141851.69714285716,80288.35857142857
18785,0.4415087008329346,1786853.327142857,191499.92285714284,124690.87714285715
18860,0.5607020299943771,1833968.66,150754.98666666666,185374.76333333334
