codigo_municipio,year,round,candidate,votes,total_votes,registered_voters,vote_share
05055,2002,1,ingrid_betancourt,15,1097,,0.0136736554238833
05055,2002,1,luis_eduardo_garzon,62,1097,,0.056517775752051
05055,2002,1,noemi_sanin,288,1097,,0.2625341841385597
05059,2002,1,BEDOYA,3,1713,,0.0017513134851138
05059,2002,1,CARDONA,5,1713,,0.002918855808523
05059,2002,1,TARJETAS NO MARCADAS,13,1713,,0.0075890251021599
05059,2002,1,TOVAR,3,1713,,0.0017513134851138
05059,2002,1,VOTOS EN BLANCO,30,1713,,0.0175131348511383
05059,2002,1,VOTOS NULOS,28,1713,,0.0163455925277291
05059,2002,1,alvaro_uribe,915,1713,,0.5341506129597198
05059,2002,1,horacio_serpa,537,1713,,0.3134851138353765
05059,2002,1,ingrid_betancourt,3,1713,,0.0017513134851138
05059,2002,1,luis_eduardo_garzon,26,1713,,0.0151780502043199
05059,2002,1,noemi_sanin,150,1713,,0.0875656742556917
05079,2002,1,BEDOYA,35,11342,,0.0030858755069652
05079,2002,1,CARDONA,9,11342,,0.0007935108446482
05079,2002,1,CRISTANCHO,10,11342,,0.0008816787162757
05079,2002,1,LORA,9,11342,,0.0007935108446482
05079,2002,1,RINCON,5,11342,,0.0004408393581378
05079,2002,1,TARJETAS NO MARCADAS,97,11342,,0.0085522835478751
05079,2002,1,TOVAR,15,11342,,0.0013225180744136
05079,2002,1,VOTOS EN BLANCO,225,11342,,0.0198377711162052
05079,2002,1,VOTOS NULOS,266,11342,,0.0234526538529359
05079,2002,1,alvaro_uribe,6705,11342,,0.5911655792629166
05079,2002,1,horacio_serpa,2029,11342,,0.1788926115323576
05079,2002,1,ingrid_betancourt,53,11342,,0.0046728971962616
05079,2002,1,luis_eduardo_garzon,460,11342,,0.0405572209486863
05079,2002,1,noemi_sanin,1424,11342,,0.1255510491976723
05086,2002,1,BEDOYA,5,1544,,0.0032383419689119
05086,2002,1,CARDONA,3,1544,,0.0019430051813471
05086,2002,1,CRISTANCHO,2,1544,,0.0012953367875647
05086,2002,1,LORA,4,1544,,0.0025906735751295
05086,2002,1,TARJETAS NO MARCADAS,18,1544,,0.0116580310880829
05086,2002,1,TOVAR,2,1544,,0.0012953367875647
05086,2002,1,VOTOS EN BLANCO,27,1544,,0.0174870466321243
05086,2002,1,VOTOS NULOS,26,1544,,0.0168393782383419
05086,2002,1,alvaro_uribe,1030,1544,,0.667098445595855
05086,2002,1,horacio_serpa,178,1544,,0.1152849740932642
05086,2002,1,ingrid_betancourt,2,1544,,0.0012953367875647
05086,2002,1,luis_eduardo_garzon,46,1544,,0.0297927461139896
05086,2002,1,noemi_sanin,201,1544,,0.130181347150259
05088,2002,1,BEDOYA,439,109007,,0.0040272643041272
05088,2002,1,CARDONA,58,109007,,0.0005320759217297
05088,2002,1,CRISTANCHO,120,109007,,0.0011008467346133
05088,2002,1,LORA,38,109007,,0.0003486014659609
05088,2002,1,RINCON,103,109007,,0.0009448934472098
05088,2002,1,TARJETAS NO MARCADAS,324,109007,,0.0029722861834561
05088,2002,1,TOVAR,73,109007,,0.0006696817635564
05088,2002,1,VOTOS EN BLANCO,2585,109007,,0.0237140734081297
05088,2002,1,VOTOS NULOS,2111,109007,,0.0193657288064069
05088,2002,1,alvaro_uribe,69688,109007,,0.6392983936811397
05088,2002,1,horacio_serpa,13860,109007,,0.1271477978478446
05088,2002,1,ingrid_betancourt,662,109007,,0.0060730044859504
05088,2002,1,luis_eduardo_garzon,6399,109007,,0.0587026521232581
05088,2002,1,noemi_sanin,12547,109007,,0.1151026998266166
05091,2002,1,BEDOYA,12,2223,,0.0053981106612685
05091,2002,1,CRISTANCHO,1,2223,,0.0004498425551057
05091,2002,1,TARJETAS NO MARCADAS,19,2223,,0.0085470085470085
05091,2002,1,TOVAR,2,2223,,0.0008996851102114
05091,2002,1,VOTOS EN BLANCO,25,2223,,0.0112460638776428
05091,2002,1,VOTOS NULOS,22,2223,,0.0098965362123256
05091,2002,1,alvaro_uribe,1219,2223,,0.5483580746738641
05091,2002,1,horacio_serpa,693,2223,,0.3117408906882591
05091,2002,1,ingrid_betancourt,1,2223,,0.0004498425551057
05091,2002,1,luis_eduardo_garzon,39,2223,,0.0175438596491228
05091,2002,1,noemi_sanin,190,2223,,0.0854700854700854
05093,2002,1,BEDOYA,20,3313,,0.0060368246302444
05093,2002,1,CARDONA,4,3313,,0.0012073649260488
05093,2002,1,CRISTANCHO,6,3313,,0.0018110473890733
05093,2002,1,LORA,5,3313,,0.0015092061575611
05093,2002,1,RINCON,5,3313,,0.0015092061575611
05093,2002,1,TARJETAS NO MARCADAS,56,3313,,0.0169031089646845
