codigo_municipio,nbi_rate,nbi_urban,nbi_rural
13433,0.2863960887785193,0.41813577481250613,0.1991615607868429
13440,0.3669753086419753,0.2946708463949843,0.3811692307692308
13442,0.46598707001169437,0.4815016591550691,0.4535216872264226
13458,0.6311061618411284,0.4660300136425648,0.6928097909229984
13468,0.29197620866023277,0.20507532281205165,0.38469265725902896
13473,0.5868936716993254,0.42099932478055363,0.6639485651560295
13490,0.663286004056795,0.3866336633663367,0.7585207907293797
13549,0.6236669664653732,0.5041798789276448,0.6445171026156942
13580,0.27010309278350514,0.23905511811023625,0.31574074074074077
13600,0.4353230769230769,0.30958842152871996,0.5854712395355117
13620,0.25596994902066006,0.29553805774278213,0.12593444508338122
13647,0.3285506719941882,0.35739498764560534,0.26552256074045505
13650,0.4073240589198036,0.2225186766275347,0.45115160718805364
13654,0.9344401511613095,0.980778565187846,0.610715496778569
13655,0.6504517885876965,0.5260663507109005,0.70059048280653
13657,0.3839094092398057,0.4273814932606391,0.2563333333333333
13667,0.45589959313150813,0.3185437997724687,0.5852189048065337
13670,0.3907422512234911,0.3292650570443088,0.5948898678414097
13673,0.5778189329724339,0.949812734082397,0.34946545579951716
13683,0.7091156462585034,0.7274694426574654,0.46316614420062696
13688,0.28056736548893124,0.15001182592242196,0.4934438873891246
13744,0.34591194968553457,0.1799964532718567,0.44311688311688324
13760,0.28289974964623926,0.2758050286722541,0.823529411764706
13780,0.26344881276761384,0.25057736720554274,0.2749520860975969
13810,0.6031365107712914,0.4414355628058728,0.6872242958941297
13836,0.17193535271396626,0.15935682070723575,0.3472517461281506
13838,0.48565362840967574,0.5397604391948095,0.30096536059057355
13873,0.39929027679205115,0.3946178686759957,0.4332681017612524
13894,0.4191079440485616,0.3933644677952909,0.6620752984389349
15001,0.036320047947258016,0.032142006493587894,0.12753147235905857
15022,0.07458912768647281,0.012738853503184712,0.08990536277602523
15047,0.13001443001443003,0.09888965995836224,0.15217391304347827
15051,0.08940701303469799,0.04751892346509672,0.12186379928315412
15087,0.07634526085768915,0.05042391789379742,0.11725352112676056
15090,0.15048543689320387,0.03307888040712468,0.19447092469018115
15092,0.11134564643799472,0.05351170568561873,0.12218045112781954
15097,0.19748580697485807,0.10398230088495575,0.2765718562874252
15104,0.11225402504472273,0.08482142857142858,0.11710526315789474
15106,0.1561429270680372,0.07296137339055794,0.18072289156626506
15109,0.14599056603773583,0.056899004267425314,0.16369804919423242
15114,0.10379464285714286,0.11707317073170731,0.0925925925925926
15131,0.153322528363047,0.10638297872340424,0.15719298245614033
15135,0.20739371534195927,0.08755760368663594,0.2453748782862707
15162,0.08608360836083609,0.05452292441140025,0.1112759643916914
15172,0.13359319631467043,0.07130434782608695,0.1764354066985646
15176,0.05280662854475435,0.04387420834243285,0.12553342816500712
15180,0.28826317256760525,0.125,0.3388097845929171
