"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"61",2022,12,0,1,"05031","Amalfi","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",25,11232,"#dddddd","OTROS"
"62",2022,12,0,1,"05031","Amalfi","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",20,11232,"#dddddd","OTROS"
"63",2022,12,0,1,"05031","Amalfi","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",9,11232,"#dddddd","OTROS"
"64",2022,12,0,1,"05031","Amalfi","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",3,11232,"#dddddd","OTROS"
"65",2022,12,0,1,"05034","Andes","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",9330,3187,"#871953","COALICION EQUIPO POR COLOMBIA"
"66",2022,12,0,1,"05034","Andes","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",3512,3187,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"67",2022,12,0,1,"05034","Andes","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",2400,3187,"#1b3383","COALICION PACTO HISTORICO"
"68",2022,12,0,1,"05034","Andes","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",686,3187,"#dddddd","OTROS"
"69",2022,12,0,1,"05034","Andes","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",257,3187,"#dddddd","OTROS"
"70",2022,12,0,1,"05034","Andes","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",156,3187,"#808080","VOTOS NULOS"
"71",2022,12,0,1,"05034","Andes","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",39,3187,"#A97C20","COLOMBIA JUSTA LIBRES"
"72",2022,12,0,1,"05034","Andes","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",33,3187,"#dddddd","OTROS"
"73",2022,12,0,1,"05034","Andes","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",28,3187,"#dddddd","OTROS"
"74",2022,12,0,1,"05034","Andes","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",21,3187,"#dddddd","OTROS"
"75",2022,12,0,1,"05034","Andes","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",4,5882,"#dddddd","OTROS"
"76",2022,12,0,1,"05036","Angelópolis","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1364,5036,"#871953","COALICION EQUIPO POR COLOMBIA"
"77",2022,12,0,1,"05036","Angelópolis","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",622,5036,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"78",2022,12,0,1,"05036","Angelópolis","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",363,5036,"#1b3383","COALICION PACTO HISTORICO"
"79",2022,12,0,1,"05036","Angelópolis","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",102,5036,"#dddddd","OTROS"
"80",2022,12,0,1,"05036","Angelópolis","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",61,5036,"#dddddd","OTROS"
"81",2022,12,0,1,"05036","Angelópolis","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",38,5036,"#808080","VOTOS NULOS"
"82",2022,12,0,1,"05036","Angelópolis","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",12,5036,"#dddddd","OTROS"
